"Timestamp","Select your gender","Select your country of origin","Select your age","Select your study program","Enter the number of Semesters you have studied","Enter your CGPA (Approximate if do not know exact)","Select your Program name","Select the Course name you want to review","Enter the GPA you earned in the selected course","Select the reasons, IF you could NOT pass the course","Rate your difficulty level of this course","Select the learning medium/method you found helpful to score a good grade [Attending Lectures]","Select the learning medium/method you found helpful to score a good grade [Attending Exercises]","Select the learning medium/method you found helpful to score a good grade [Online Self study]","Select the learning medium/method you found helpful to score a good grade [Group Study]","Why was attending lectures NOT helpful?","Why was attending lectures helpful?","How much did you participate in the course activity [Attending Lectures]","How much did you participate in the course activity [Attending Exercises]","In general, do you think this course is being helpful in your career?","Feel free to add your comments for the course","Select your Program name","Select the course name","Enter the GPA you earned in the selected course","Select the reasons, IF you could NOT pass the course","Rate your difficulty level of this course","Select the learning medium/method you found helpful to score a good grade [Attending Lectures]","Select the learning medium/method you found helpful to score a good grade [Attending Exercises]","Select the learning medium/method you found helpful to score a good grade [Online Self study]","Select the learning medium/method you found helpful to score a good grade [Group Study]","Why was attending lectures NOT helpful?","Why was attending lectures helpful?","How much did you participate in the course activity [Attending Lectures]","How much did you participate in the course activity [Attending Exercises]","In general, do you think this course is being helpful in your career?","Feel free to add your comments for the course"
"2019/11/29 9:19:57 AM GMT+1","Male","Turkey","28","Masters","1","0","","","","","","","","","","","","","","","","M.Sc. Computer Engineering (Intelligent Networked Systems)","Information Engineering","0","Delivered content in the lecture was not helpful to pass","7","100%","100%","100%","0%","Didn't make any difference to attend the classes;Teaching method was not good;Content delivered was outdated or not interesting","Content was well-defined and well-structured in order to pass the course","100%","100%","Yes",""
"2019/11/29 9:24:05 AM GMT+1","Male","Turkey","28","Masters","1","0","","","","","","","","","","","","","","","","M.Sc. Computer Engineering (Intelligent Networked Systems)","Distributed Systems","0","Delivered content in the lecture was not helpful to pass;I didn't study enough to pass the exam","8","100%","100%","100%","0%","Didn't make any difference to attend the classes;Teaching method was not good","Content was well-defined and well-structured in order to pass the course","100%","100%","Maybe",""
"2019/11/29 10:29:37 PM GMT+1","Male","Turkey","21","Masters","14","2.8","","","","","","","","","","","","","","","","M.Sc. Computer Engineering (Intelligent Networked Systems)","Learning Analytics","2.5","In exercise part, my group's grade to low","5","100%","100%","100%","0%","","Content was well-defined and well-structured in order to pass the course;Teaching methodology was interesting","100%","100%","Maybe","I would like to thank you to taking time to preparing this questionnaire, I am sure that will help not only the students it will HELP TO MANKIND :)) "
"2019/11/30 7:31:17 PM GMT+1","Male","Pakistan","27","Masters","6","3","","","","","","","","","","","","","","","","M.Sc. Computer Engineering (Intelligent Networked Systems)","Peer-to-Peer Systeme","4","Professor used to go in very much deep detail which makes confusion about the real topic","4","25%","0%","0%","75%","Teaching method was not good;Class environment was not encouraging and cooperative","Content delivered was interesting","50%","0%","Yes","Professor need to have a QA session after every lecture "
"2019/12/01 8:03:40 PM GMT+1","Male","China","25","Masters","2","2.5","","","","","","","","","","","","","","","","M.Sc. Computer Engineering (Intelligent Networked Systems)","Automobilelektronik","2.0","Delivered content in the lecture was not helpful to pass;I didn't study enough to pass the exam;Didn't have enough time to study due to the job","8","75%","50%","75%","50%","Students were over crowded;Didn't make any difference to attend the classes","Content was well-defined and well-structured in order to pass the course;Teaching methodology was interesting","75%","50%","Maybe",""
"2019/12/01 8:09:40 PM GMT+1","Female","China","25","Masters","6","3","","","","","","","","","","","","","","","","M.Sc. Computer Engineering (Intelligent Networked Systems)","Game Architecture and Design","2.3","I didn't study enough to pass the exam","10","100%","100%","100%","100%","Content delivered was outdated or not interesting","Content was well-defined and well-structured in order to pass the course","100%","100%","Maybe",""
"2019/12/01 8:14:48 PM GMT+1","Male","China","25","Masters","4","2.1","","","","","","","","","","","","","","","","M.Sc. Computer Engineering (Intelligent Networked Systems)","Information Retrieval","1.3","","7","75%","75%","75%","75%","","Content was well-defined and well-structured in order to pass the course;Teaching methodology was interesting;Content delivered was interesting;Class environment was encouraging and cooperative","75%","75%","Yes",""
"2019/12/01 8:15:28 PM GMT+1","Male","Germany","26","Masters","9","2.8","","","","","","","","","","","","","","","","M.Sc. Computer Engineering (Intelligent Networked Systems)","Information Mining","1.7","I didn't study enough to pass the exam;Personal problems","8","50%","50%","75%","50%","Didn't make any difference to attend the classes","Content was well-defined and well-structured in order to pass the course","25%","25%","Yes",""
"2019/12/01 8:19:20 PM GMT+1","Female","China","26","Masters","7","2.9","","","","","","","","","","","","","","","","M.Sc. Computer Engineering (Intelligent Networked Systems)","Information Retrieval","3.0","","8","100%","100%","100%","100%","Class environment was not encouraging and cooperative","Content was well-defined and well-structured in order to pass the course;Teaching methodology was interesting;Content delivered was interesting;Class environment was encouraging and cooperative","100%","100%","Yes",""
"2019/12/01 9:24:02 PM GMT+1","Male","India","23","Masters","2","2.3","","","","","","","","","","","","","","","","M.Sc. Computational Mechanics","Structural Dynamics","2.3","","6","75%","75%","25%","25%","","Content was well-defined and well-structured in order to pass the course;Teaching methodology was interesting;Content delivered was interesting;Class environment was encouraging and cooperative","75%","75%","Yes",""
"2019/12/01 9:25:08 PM GMT+1","Female","Indonesia","17","Bachelors","1","0","B.Sc. Mechanical Engineering","Mechanics I1","0","","8","25%","75%","75%","25%","Didn't make any difference to attend the classes","","75%","75%","Yes","","","","","","","","","","","","","","","",""
"2019/12/01 10:33:36 PM GMT+1","Female","China","28","Masters","0","2.9","","","","","","","","","","","","","","","","M.Sc. Mechanical Engineering (Production and Logistics)","Combustion Science","3","","7","50%","75%","50%","75%","","Content was well-defined and well-structured in order to pass the course","75%","75%","Maybe",""
"2019/12/01 10:46:56 PM GMT+1","Male","China","23","Bachelors","5","2","B.Sc. Computer Engineering (Software Engineering)","Automaten und formale Sprachen","3","","8","50%","50%","50%","50%","Class environment was not encouraging and cooperative","Content was well-defined and well-structured in order to pass the course","50%","50%","Yes","","","","","","","","","","","","","","","",""
"2019/12/01 10:50:06 PM GMT+1","Male","India","22","Masters","1","0","","","","","","","","","","","","","","","","M.Sc. Computational Mechanics","Introduction to Numerical Methods","0","Delivered content in the lecture was not helpful to pass","8","100%","100%","75%","50%","Teaching method was not good","","100%","100%","Yes",""
"2019/12/01 11:58:44 PM GMT+1","Female","India","27","Masters","6","2.8","","","","","","","","","","","","","","","","M.Sc. Computer Engineering (Intelligent Networked Systems)","Advanced Web Technologies","2.3","","7","50%","50%","50%","25%","","Content was well-defined and well-structured in order to pass the course;Teaching methodology was interesting","50%","50%","Yes","Good and useful"
"2019/12/02 7:38:28 PM GMT+1","Male","Egypt","22","Bachelors","5","2","B.Sc. Computer Engineering (Software Engineering)","Regelungstechnik EIT (alt: Einführung in die Automatisier","3.7","","9","0%","25%","50%","50%","Didn't make any difference to attend the classes;Teaching method was not good;Content delivered was outdated or not interesting;Class environment was not encouraging and cooperative","","25%","50%","No","","","","","","","","","","","","","","","",""
"2019/12/03 1:38:07 PM GMT+1","Female","Iran","33","Masters","2","3","","","","","","","","","","","","","","","","M.Sc. Computer Engineering (Interactive Systems and Visualization)","Global Engineering","3","Delivered content in the lecture was not helpful to pass","5","50%","25%","0%","25%","Teaching method was not good","Content delivered was interesting","50%","50%","Yes",""
"2019/12/03 2:58:40 PM GMT+1","Female","Iran","30","Masters","2","2.5","","","","","","","","","","","","","","","","M.Sc. Computer Engineering (Intelligent Networked Systems)","Advanced Web Technologies","2.7","","5","50%","25%","50%","25%","","","50%","50%","Yes",""
"2019/12/03 7:32:12 PM GMT+1","Male","Iran","","Masters","4","2.3","","","","","","","","","","","","","","","","M.Sc. Computer Engineering (Intelligent Networked Systems)","Information Engineering","5","","9","50%","75%","25%","50%","Didn't make any difference to attend the classes","","50%","75%","Yes",""
"2019/12/04 3:36:34 PM GMT+1","Male","Turkey","22","Masters","3","2.2","","","","","","","","","","","","","","","","M.Sc. Computer Engineering (Intelligent Networked Systems)","Computer Graphics","4","Delivered content in the lecture was not helpful to pass","9","100%","100%","100%","0%","Didn't make any difference to attend the classes;Teaching method was not good","","100%","100%","No",""
"2019/12/04 3:39:14 PM GMT+1","Male","Turkey","25","Masters","4","2.8","","","","","","","","","","","","","","","","M.Sc. Computer Engineering (Intelligent Networked Systems)","Distributed Systems","3.8","Delivered content in the lecture was not helpful to pass","8","100%","100%","100%","0%","Didn't make any difference to attend the classes;Teaching method was not good;Content delivered was outdated or not interesting","","100%","100%","Maybe",""
"2019/12/05 5:00:06 PM GMT+1","Male","Malaysia","21","Bachelors","4","2.7","B.Sc. Mechanical Engineering","Mathematics I2","1.3","I didn't study enough to pass the exam","5","25%","0%","100%","50%","","","25%","25%","Maybe","","","","","","","","","","","","","","","",""
"2019/12/05 5:51:20 PM GMT+1","Male","India","25","Masters","3","1.45","","","","","","","","","","","","","","","","M.Sc. Computational Mechanics","Die Methode der Finiten Elemente 1","1.0","","5","100%","100%","50%","25%","","Content was well-defined and well-structured in order to pass the course;Teaching methodology was interesting","100%","100%","Yes",""
"2019/12/05 5:52:27 PM GMT+1","Male","China","23","Bachelors","5","2.4","B.Sc. Mechanical Engineering","Design Theory 2","1.3","Personal problems","5","50%","50%","50%","50%","Didn't make any difference to attend the classes","Content was well-defined and well-structured in order to pass the course;Teaching methodology was interesting;Content delivered was interesting;Class environment was encouraging and cooperative","50%","50%","Maybe","","","","","","","","","","","","","","","",""
"2019/12/05 5:53:29 PM GMT+1","Male","China","25","Masters","3","2","","","","","","","","","","","","","","","","M.Sc. Embedded Systems Engineering","Optical Communications Technology","1.3","","5","50%","25%","25%","0%","","Content was well-defined and well-structured in order to pass the course;Class environment was encouraging and cooperative","75%","75%","Maybe",""
"2019/12/05 5:55:16 PM GMT+1","Female","Malaysia","22","Bachelors","5","1","B.Sc. Computer Engineering (Software Engineering)","Softwaretechnik","2","Delivered content in the lecture was not helpful to pass the exam","6","25%","50%","100%","50%","Didn't make any difference to attend the classes","Content was well-defined and well-structured in order to pass the course;Teaching methodology was interesting;Content delivered was interesting","25%","25%","Yes","","","","","","","","","","","","","","","",""
"2019/12/05 5:56:51 PM GMT+1","Male","China","25","Masters","4","3","","","","","","","","","","","","","","","","M.Sc. Automation and Control Engineering","Advanced Modeling and Simulation Techniques","2","Personal problems","6","25%","50%","50%","50%","Content delivered was outdated or not interesting","Content was well-defined and well-structured in order to pass the course","50%","50%","Yes",""
"2019/12/05 5:57:20 PM GMT+1","Male","India","25","Masters","3","1.45","","","","","","","","","","","","","","","","M.Sc. Computational Mechanics","Tensor Calculus","2.7","","9","25%","50%","75%","75%","Didn't make any difference to attend the classes;Teaching method was not good;Content delivered was outdated or not interesting","","100%","100%","Maybe","And this is not only my opinion but as far as this exam was concerned, the exam had topic which were never clearly discussed in the exercise. No motivation was given. And lectures were practically useless."
"2019/12/05 6:01:56 PM GMT+1","Male","India","23","Masters","3","2.0","","","","","","","","","","","","","","","","M.Sc. Mechanical Engineering (Mechatronics)","Antriebstechnik","2.3","","7","25%","100%","100%","50%","","Content delivered was interesting","100%","100%","Yes","Language problem"
"2019/12/05 6:02:00 PM GMT+1","Male","China","25","Masters","5","3.0","","","","","","","","","","","","","","","","M.Sc. Mechanical Engineering (Energy and Environmental Engineering)","Air Pollution Control","3.7","Delivered content in the lecture was not helpful to pass","6","100%","100%","0%","0%","Didn't make any difference to attend the classes;Teaching method was not good","","100%","100%","Yes","The professor's teaching method is very bad."
"2019/12/05 6:10:25 PM GMT+1","Male","China","21","Bachelors","5","2.2","B.Sc. Computer Engineering (Software Engineering)","Computer Based Engineering Mathematics","2.2","Personal problems","6","0%","0%","50%","50%","Students were over crowded","","50%","50%","No","","","","","","","","","","","","","","","",""
"2019/12/05 6:10:28 PM GMT+1","Male","Egypt","24","Bachelors","4","2.1","B.Sc. Computer Engineering (Software Engineering)","Betriebssysteme","0","","6","0%","0%","100%","0%","","","0%","0%","Yes","","","","","","","","","","","","","","","",""
"2019/12/05 6:12:32 PM GMT+1","Female","Iran","28","Masters","3","2","","","","","","","","","","","","","","","","M.Sc. Computer Engineering (Intelligent Networked Systems)","Information Engineering","4","","7","50%","100%","75%","25%","Class environment was not encouraging and cooperative","","50%","100%","Yes","I enjoyed the exercise class and I learned a lot."
"2019/12/07 4:48:47 PM GMT+1","Male","Pakistan","23","Masters","1","2","","","","","","","","","","","","","","","","M.Sc. Mechanical Engineering (Energy and Environmental Engineering)","Mechanical and Biological Waste Treatment","2.7","","5","100%","100%","0%","50%","","Content was well-defined and well-structured in order to pass the course;Teaching methodology was interesting;Class environment was encouraging and cooperative","100%","100%","Yes",""
"2019/12/07 5:23:11 PM GMT+1","Male","Germany","27","Masters","0","0","","","","","","","","","","","","","","","","M.Sc. Power Engineering","Mathematik E4","0","Personal problems","10","50%","25%","0%","50%","Teaching method was not good","Teaching methodology was interesting","75%","0%","Maybe",""
"2019/12/07 6:18:20 PM GMT+1","Female","South Africa","25","Bachelors","6","2.03","B.Sc. Mechanical Engineering","CAD (bzw. CAD/CAE)","2.33","Personal problems","10","0%","0%","0%","0%","Didn't make any difference to attend the classes","Content was well-defined and well-structured in order to pass the course","0%","0%","Yes","","","","","","","","","","","","","","","",""
"2019/12/07 6:19:32 PM GMT+1","Female","South Africa","25","Bachelors","6","2.03","B.Sc. Mechanical Engineering","Softwaretechnik","2.33","Personal problems","10","0%","0%","0%","0%","Didn't make any difference to attend the classes","Teaching methodology was interesting","0%","0%","Yes","","","","","","","","","","","","","","","",""
"2019/12/07 7:55:47 PM GMT+1","Male","Pakistan","27","Masters","2","2.0","","","","","","","","","","","","","","","","M.Sc. Power Engineering","Theoretische Elektrotechnik 1","3.7","","9","0%","75%","100%","100%","Teaching method was not good","Content delivered was interesting","25%","75%","Maybe","The course content is not available in English which makes it difficult for students to pass. Furthermore the content is not that elaborative to give a proper direction of study. The exercise and specially the seminars were of great help since Seminar was conducted in English which helped to understand the concepts alot."
"2019/12/07 9:37:33 PM GMT+1","Male","Pakistan","27","Masters","2","2.0","","","","","","","","","","","","","","","","M.Sc. Power Engineering","Photovoltaik","1.0","","6","75%","50%","75%","100%","","Content was well-defined and well-structured in order to pass the course;Teaching methodology was interesting;Content delivered was interesting;Class environment was encouraging and cooperative","100%","100%","Yes","The course content was very good and the Professor gave excellent lectures along with making the class interactive for students "
"2019/12/07 9:37:57 PM GMT+1","Male","Pakistan","27","Masters","2","2.0","","","","","","","","","","","","","","","","M.Sc. Power Engineering","Photovoltaik","1.0","","6","75%","50%","75%","100%","","Content was well-defined and well-structured in order to pass the course;Teaching methodology was interesting;Content delivered was interesting;Class environment was encouraging and cooperative","100%","100%","Yes","The course content was very good and the Professor gave excellent lectures along with making the class interactive for students "
"2019/12/08 9:31:39 AM GMT+1","Male","Brazil","26","Bachelors","1","0","B.Sc. Computer Engineering (Software Engineering)","Mechanics I1","0","Didn't have enough time to study due to the job","8","50%","0%","100%","0%","Didn't make any difference to attend the classes;Teaching method was not good","","75%","25%","No","","","","","","","","","","","","","","","",""
"2019/12/12 1:08:15 PM GMT+1","Male","Jordan","25","Masters","3","1.4","","","","","","","","","","","","","","","","M.Sc. Computer Engineering (Intelligent Networked Systems)","Interaktive Systeme","1.0","","2","100%","50%","50%","25%","","Content was well-defined and well-structured in order to pass the course;Teaching methodology was interesting","75%","50%;75%","No",""
"2019/12/20 1:09:35 PM GMT+1","Female","Angola","20","Masters","2","2","","","","","","","","","","","","","","","","M.Sc. Computational Mechanics","Wind Energy","3","","8","50%","75%","50%","50%","Teaching method was not good","Teaching methodology was interesting","50%","50%","Maybe",""
"2019/12/20 1:38:36 PM GMT+1","Male","Algeria","21","Masters","1","0","","","","","","","","","","","","","","","","M.Sc. Computer Engineering (Intelligent Networked Systems)","Computer Graphics","3.3","Didn't have enough time to study due to the job","3","50%","50%","50%","50%","","","50%","50%","No",""
"2019/12/20 1:42:12 PM GMT+1","Female","Andorra","24","Masters","0","0","","","","","","","","","","","","","","","","M.Sc. Embedded Systems Engineering","Adsorption Technology","3.7","Didn't have enough time to study due to the job","6","50%","25%","50%","50%","Students were over crowded","Content was well-defined and well-structured in order to pass the course","25%","25%","Yes",""
"2020/01/12 9:28:25 PM GMT+1","Male","Germany","21","Bachelors","5","2.0","B.Sc. Electrical and Electronic Engineering","Einführung in die Werkstoffe","2.7","","7","75%","75%","75%","75%","","","75%","75%","Yes","","","","","","","","","","","","","","","",""
"2020/01/12 9:47:51 PM GMT+1","Female","China","25","Masters","5","3.0","","","","","","","","","","","","","","","","M.Sc. Computer Engineering (Intelligent Networked Systems)","Computer/Robot Vision","3","","8","100%","100%","50%","100%","","Content was well-defined and well-structured in order to pass the course","75%","50%","Yes",""
"2020/01/13 1:09:44 AM GMT+1","Female","China","21","Bachelors","3","2.3","B.Sc. Computer Engineering (Software Engineering)","Betriebssysteme","0","","6","25%","50%","75%","25%","","","50%","75%","Yes","","","","","","","","","","","","","","","",""
"2020/01/13 6:00:37 PM GMT+1","Female","China","28","Masters","3","2.3","","","","","","","","","","","","","","","","M.Sc. Computer Engineering (Intelligent Networked Systems)","Internet of Things: Protocols and System Software","5.0","Personal problems","8","25%","25%","25%","25%","Content delivered was outdated or not interesting","Content delivered was interesting","0%","0%","No",""
"2020/01/13 9:59:09 PM GMT+1","Male","Pakistan","23","Masters","2","2.4","","","","","","","","","","","","","","","","M.Sc. Computer Engineering (Intelligent Networked Systems)","Peer-to-Peer Systeme","5","Delivered content in the lecture was not helpful to pass","7","50%","25%","100%","100%","Didn't make any difference to attend the classes","Content delivered was interesting","0%","0%","Yes",""
"2020/01/15 7:04:45 PM GMT+1","Male","Pakistan","27","Masters","6","2.1","","","","","","","","","","","","","","","","M.Sc. Computer Engineering (Intelligent Networked Systems)","Advanced Web Technologies","1.3","","5","50%","75%","50%","50%","Students were over crowded","Teaching methodology was interesting","75%","75%","Yes",""
"2020/01/16 12:30:56 PM GMT+1","Male","Turkey","28","Masters","1","0","","","","","","","","","","","","","","","","M.Sc. Computer Engineering (Intelligent Networked Systems)","Computer Graphics","5","Delivered content in the lecture was not helpful to pass","9","25%","25%","100%","100%","Teaching method was not good;Content delivered was outdated or not interesting","","100%","100%","No",""
"2020/01/20 3:16:11 PM GMT+1","Male","Iran","25","Masters","4","2.8","","","","","","","","","","","","","","","","M.Sc. Computer Engineering (Intelligent Networked Systems)","Information Engineering","3","","7","25%","50%","50%","50%","Teaching method was not good","Content delivered was interesting","25%","50%","Yes",""
"2020/01/20 3:18:51 PM GMT+1","Female","Iran","27","Masters","4","2.3","","","","","","","","","","","","","","","","M.Sc. Computer Engineering (Intelligent Networked Systems)","Internet of Things: Protocols and System Software","2.3","","6","50%","25%","25%","25%","Students were over crowded","Teaching methodology was interesting","50%","25%","Yes",""
"2020/01/20 3:21:23 PM GMT+1","Female","Iran","23","Masters","3","3.1","","","","","","","","","","","","","","","","M.Sc. Computer Engineering (Intelligent Networked Systems)","Internet of Things: Protocols and System Software","3.3","","7","50%","25%","25%","0%","Content delivered was outdated or not interesting","Content delivered was interesting","50%","25%","Yes",""
"2020/01/20 3:25:12 PM GMT+1","Female","Iran","24","Bachelors","5","2.5","B.Sc. Electrical and Electronic Engineering","Logik","2.3","","5","25%","50%","50%","0%","Teaching method was not good","Content was well-defined and well-structured in order to pass the course","75%","25%","No","","","","","","","","","","","","","","","",""
"2020/01/20 3:27:48 PM GMT+1","Male","China","21","Bachelors","4","2.4","B.Sc. Computer Engineering (Software Engineering)","Softwaretechnik","2.7","","8","25%","50%","75%","75%","Students were over crowded","Class environment was encouraging and cooperative","25%","50%","Yes","","","","","","","","","","","","","","","",""
"2020/01/20 3:30:05 PM GMT+1","Female","China","22","Bachelors","5","2.6","B.Sc. Computer Engineering (Communications)","Betriebssysteme","3.3","","7","75%","75%","50%","75%","Didn't make any difference to attend the classes","","50%","50%","No","","","","","","","","","","","","","","","",""
"2020/01/20 5:05:59 PM GMT+1","Female","Syria","24","Masters","3","2.3","","","","","","","","","","","","","","","","M.Sc. Computer Engineering (Intelligent Networked Systems)","Advanced Web Technologies","1.3","","6","50%","50%","25%","0%","","Teaching methodology was interesting","75%","50%","Yes",""
"2020/01/20 5:10:15 PM GMT+1","Male","Turkey","28","Masters","6","3.3","","","","","","","","","","","","","","","","M.Sc. Mechanical Engineering (Mechatronics)","Moderne Energiesysteme","3.7","","9","25%","25%","75%","50%","Didn't make any difference to attend the classes","","25%","50%","No",""
"2020/01/20 5:12:01 PM GMT+1","Male","India","25","Masters","2","2.1","","","","","","","","","","","","","","","","M.Sc. Computer Engineering (Intelligent Networked Systems)","Computer/Robot Vision","2.3","","8","75%","75%","50%","50%","","Content was well-defined and well-structured in order to pass the course;Content delivered was interesting","75%","75%","Yes",""
"2020/01/20 5:13:11 PM GMT+1","Male","India","26","Bachelors","4","2.9","B.Sc. Computer Engineering (Software Engineering)","Betriebssysteme","2.7","","7","25%","25%","75%","75%","Students were over crowded;Didn't make any difference to attend the classes","","25%","25%","No","","","","","","","","","","","","","","","",""
"2020/01/20 5:15:14 PM GMT+1","Male","Germany","24","Masters","5","2.2","","","","","","","","","","","","","","","","M.Sc. Computer Engineering (Intelligent Networked Systems)","Entwicklung sicherer Software","3.3","","6","50%","50%","100%","25%","Teaching method was not good;Content delivered was outdated or not interesting","","50%","25%","No",""
"2020/01/20 5:18:11 PM GMT+1","Female","Germany","22","Bachelors","4","2.3","B.Sc. Structural Engineering","Modellbildung und Simulation","1.3","","6","75%","75%","50%","50%","","Content delivered was interesting","75%","75%","Yes","","","","","","","","","","","","","","","",""
"2020/01/20 5:20:55 PM GMT+1","Male","Germany","25","Bachelors","5","3.1","B.Sc. Mechanical Engineering","Mechanics I3","3.7","","9","25%","25%","75%","100%","Class environment was not encouraging and cooperative","","25%","25%","No","","","","","","","","","","","","","","","",""
"2020/01/20 5:22:18 PM GMT+1","Female","China","28","Masters","3","2.8","","","","","","","","","","","","","","","","M.Sc. Computer Engineering (Intelligent Networked Systems)","Distributed Systems","3.3","","7","25%","25%","100%","25%","Class environment was not encouraging and cooperative","","25%","25%","Yes",""
"2020/01/20 5:25:52 PM GMT+1","Male","China","22","Bachelors","5","1.9","B.Sc. Electrical and Electronic Engineering","Embedded Systems","1.7","","6","50%","50%","75%","25%","","Content was well-defined and well-structured in order to pass the course","25%","50%","Yes","","","","","","","","","","","","","","","",""
"2020/01/20 5:29:07 PM GMT+1","Female","Ukraine","24","Masters","2","2.3","","","","","","","","","","","","","","","","M.Sc. Mechanical Engineering (Production and Logistics)","Production Management","2.3","","5","50%","50%","50%","25%","Didn't make any difference to attend the classes","","50%","50%","Yes",""
"2020/01/20 5:30:28 PM GMT+1","Female","China","27","Masters","2","2.7","","","","","","","","","","","","","","","","M.Sc. Computer Engineering (Intelligent Networked Systems)","Interaktive Systeme","2.7","","5","0%","50%","50%","25%","Class environment was not encouraging and cooperative","","0%","25%","No",""
"2020/01/20 5:33:30 PM GMT+1","Female","Germany","24","Masters","1","2.8","","","","","","","","","","","","","","","","M.Sc. Mechanical Engineering (Energy and Environmental Engineering)","Advanced Numerical Methods","2","","7","75%","100%","75%","25%","","Content was well-defined and well-structured in order to pass the course;Class environment was encouraging and cooperative","75%","75%","Yes",""
"2020/01/20 5:36:37 PM GMT+1","Male","Turkey","20","Bachelors","3","2.8","B.Sc. Mechanical Engineering","Modellbildung und Simulation","1.3","","5","75%","50%","75%","25%","Content delivered was outdated or not interesting","","75%","50%","No","","","","","","","","","","","","","","","",""
"2020/01/20 5:38:08 PM GMT+1","Female","China","21","Bachelors","4","2.1","B.Sc. Computer Engineering (Software Engineering)","Datenbanken","2","","6","50%","50%","100%","100%","Content delivered was outdated or not interesting;Class environment was not encouraging and cooperative","","25%","25%","Yes","","","","","","","","","","","","","","","",""
"2020/01/20 5:40:51 PM GMT+1","Female","Turkey","22","Masters","2","1.9","","","","","","","","","","","","","","","","M.Sc. Mechanical Engineering (Production and Logistics)","Control Theory","2","","6","25%","50%","75%","75%","Teaching method was not good","","25%","25%","Yes",""
"2020/01/20 5:43:09 PM GMT+1","Male","China","29","Masters","8","2.6","","","","","","","","","","","","","","","","M.Sc. Mechanical Engineering (General Mechanical Engineering)","Combustion Science","2.7","","5","0%","25%","75%","75%","Didn't make any difference to attend the classes","","0%","25%","No",""
"2020/01/20 5:44:53 PM GMT+1","Female","China","28","Masters","4","3.0","","","","","","","","","","","","","","","","M.Sc. Computer Engineering (Intelligent Networked Systems)","Recommender Systeme","5.0","Delivered content in the lecture was not helpful to pass;Personal problems","8","25%","25%","50%","25%","Teaching method was not good;Class environment was not encouraging and cooperative","","25%","25%","Yes",""
"2020/01/20 5:46:26 PM GMT+1","Male","India","30","Masters","5","2.2","","","","","","","","","","","","","","","","M.Sc. Computer Engineering (Intelligent Networked Systems)","Electronic communities and social networks","4","","5","0%","0%","75%","50%","Content delivered was outdated or not interesting","","0%","0%","Yes",""
"2020/01/20 5:49:37 PM GMT+1","Male","Ukraine","21","Bachelors","5","2.0","B.Sc. Computer Engineering (Software Engineering)","Softwaretechnik","5.0","I didn't study enough to pass the exam","9","50%","25%","50%","0%","Students were over crowded;Class environment was not encouraging and cooperative","","25%","0%","Yes","","","","","","","","","","","","","","","",""
"2020/01/20 5:52:30 PM GMT+1","Male","Pakistan","25","Masters","4","2.3","","","","","","","","","","","","","","","","M.Sc. Computer Engineering (Intelligent Networked Systems)","Cloud, Web&Mobile","3","","8","25%","25%","50%","25%","Class environment was not encouraging and cooperative","","25%","25%","Yes",""
"2020/01/20 5:57:08 PM GMT+1","Male","Italy","25","Masters","6","3.3","","","","","","","","","","","","","","","","M.Sc. Computational Mechanics","Industrial Engineering","2.3","","7","25%","50%","75%","75%","","Class environment was encouraging and cooperative","25%","25%","Yes",""